Name,Latitude,Longitude,Number of Free Bikes
King St E / River St,43.656784782853144,-79.35627385059036,4
Yonge St / Golfdale Rd,43.732016,-79.403637,0
640 Bloor Street E,43.67468857448634,-79.36701962396272,7
York University (Glendon Campus) - SMART,43.727365488246306,-79.3814254607724,10
1303 Yonge St - SMART,43.6846177,-79.39245919999999,0
York University Station (South) - SMART,43.77345,-79.5002,0
Woodbine Subway Station,43.686442,-79.313404,1
Spadina Ave / Sussex Ave - SMART,43.66402799999999,-79.40297869999999,18
Simcoe St / Queen St W,43.65049,-79.3873,28
Bathurst St / Front St W,43.64134790000001,-79.4013882,3
Bay St / Harbour St (East),43.64215,-79.377,20
East Liberty St / Western Battery Rd,43.6392777,-79.4115736,6
King St W / Brant St,43.645102,-79.39744979999999,14
Bloor St W / Gladstone Ave - SMART,43.6602021,-79.4342726,1
High Park Blvd / Parkside Dr,43.644887,-79.45641169999999,9
20 Eaton Ave,43.680012,-79.34403250000001,12
Fort York Blvd / Garrison Rd,43.637381,-79.406112,10
Housey St / Dan Leckie Way,43.63811,-79.397877,17
1525 Dundas St W,43.64957,-79.432446,0
85 Lee Ave,43.6700692,-79.2971326,12
Mutual St / Shuter St (Arena Gardens),43.6559476,-79.37558829999999,1
Queen St E / Joseph Duggan Rd,43.6677628,-79.30811709999999,15
Heyworth Cres / Kingston Rd,43.6750806,-79.3068697,9
St Clair Ave W / Caledonia Rd,43.6754247,-79.4547813,5
Wellington St W / Stafford St,43.6409957,-79.40966630000001,7
111 Broadview Ave,43.6593483,-79.34993659999999,5
Christie St / Dupont St,43.67168,-79.421192,0
Richmond St E / Jarvis St Green P,43.652634,-79.374222,9
Bathurst St / Dundas St W,43.6519501,-79.4060978,3
Oak St / Sackville St,43.6613642,-79.3641171,3
24 Mountjoy Ave,43.6808774,-79.3304491,1
Colgate Ave / Carlaw Ave,43.6623658,-79.3413344,15
Felstead Ave/Gillard Ave (Monarch Park),43.6791345,-79.3263159,8
Lower Jarvis St / The Esplanade,43.6478206,-79.3704721,13
Coronation Park (Martin Goodman Trail),43.635495,-79.40352209999999,14
101 Cedarvale Ave,43.6868681,-79.3110942,11
St Clair Ave W / Oakwood Ave,43.678177,-79.435364,0
Beltline Trail / Yonge St,43.6962302,-79.39504339999999,1
Shaw St / Essex St - SMART,43.667076,-79.425116,0
St Clair Ave W / Robina Ave,43.68005,-79.43469,9
Joseph J Piccininni Community Centre,43.675648,-79.4527619,6
11 Spadina Rd,43.6677246,-79.4041365,1
Vanauley St / Queen St W - SMART,43.648437,-79.39838,11
Sherbourne St / Wellesley St E,43.6673,-79.374,5
Queen St W / Bay St (City Hall),43.6517925,-79.38269509999999,12
Queen St W / Roncesvalles Ave,43.6372958,-79.4423237,2
Havelock St / Dewson St,43.6554793,-79.4302462,0
St Clair West Subway Station - Heath Entrance,43.686352,-79.415894,1
Queen St W / Shaw St,43.6442457,-79.41610440000001,4
York University Station (North),43.7741,-79.5005,1
Spadina Rd / St.Clair Ave West,43.683979,-79.410657,0
Spadina Ave / Adelaide St W,43.6472019,-79.3953394,11
Cherry St / Mill St,43.6513927,-79.35794659999999,6
Jarvis St / Maitland Pl,43.6647688,-79.3772602,1
Temperance St / Bay St,43.6506,-79.381285,14
Cherry Beach Sports Fields (55 Unwin Ave),43.6408346,-79.3429074,4
Randolph Ave / Perth Ave,43.6585504,-79.4497659,3
Wolseley St / Augusta Ave,43.6484201,-79.40051919999999,7
Lumsden Ave / Cedarvale Ave,43.693187,-79.314283,2
Niagara St / Portland St,43.6425791,-79.40011729999999,4
Church St / The Esplanade,43.6469251,-79.3733192,12
King St W / Portland St,43.644395,-79.40065430000001,6
Widmer St / King St W,43.6463574,-79.391206,6
Wellesley St E / Parliament St,43.6682342,-79.3702641,2
Yonge St / Macpherson Ave,43.6791876,-79.39071899999999,5
Davenport Rd / Bedford Rd,43.674446,-79.398331,0
265 Armadale Ave,43.6501644,-79.48296909999999,19
St. Joseph St / Bay St - SMART,43.6658804,-79.38761010000002,3
Victoria Park Ave / Kingston Rd,43.68035,-79.28357,3
Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,7
Highview Ave / Kennedy Rd,43.702418581463505,-79.2563167072858,9
Kingston Rd / Warden Ave,43.68824135931814,-79.27046628033244,7
Birchcliff Ave / Kingston Rd,43.691688,-79.265027,3
Kingston Rd / Glen Everest Rd,43.697490048103,-79.25655146462776,13
Birchmount Rd / Kingston Rd,43.69401297794256,-79.26257204548136,6
Pharmacy Ave / Danforth Ave,43.6929478,-79.28339980000001,5
Danforth Ave / Warden Ave,43.6950192,-79.27180659999999,9
Eglinton Ave W / Gilbert Ave,43.69263249999999,-79.4627536,0
Sharpe St / Park St (Sandown Park),43.7105975,-79.2541175,9
Eglinton Ave W / Prospect Cemetery,43.69415,-79.45782580000001,15
Marlee Ave / York Beltline Trail,43.70163,-79.44099,0
Bert Robinson Park,43.688028,-79.460265,7
Rogers Rd / Prospect Cemetery,43.68323,-79.455765,12
Eglinton Ave W / Ennerdale Rd,43.69466,-79.45376999999999,6
Chester Subway Station,43.6784834,-79.3513564,4
Bloor St W / Old Mill Trl,43.65016869999999,-79.4963345,6
Wendover Rd / Bloor St W (Green P),43.6492,-79.50601999999999,0
Luttrell Ave / Danforth Ave,43.6897656,-79.2939525,2
1926 Lake Shore Blvd W,43.6357643,-79.4674917,10
36 Park Lawn Rd,43.62369169999999,-79.4838132,13
Howard Park Ave / Parkside Dr,43.648657,-79.458111,4
Ted Rogers Way / Bloor St E,43.671293,-79.380471,0
Walter Saunders Park,43.699327072589426,-79.4493630391668,0
Park Lawn Rd / Berry Rd,43.63560589999999,-79.4934616,4
Tobermory Dr / Finch Corridor Trail,43.7611741,-79.5114452,11
Driftwood Ave / Finch Corridor Trail,43.7603624,-79.5162777,6
Grand Avenue Park,43.62313,-79.4918,8
The Pond Rd / Shoreham Dr,43.772445,-79.511912,2
Berkeley St / Adelaide St E - SMART,43.653359,-79.365023,3
Kingston Rd / Ridgemoor Ave,43.70643614257429,-79.25104443353288,1
Moss Park,43.655972,-79.370638,5
York St / Lake Shore Blvd W,43.641952,-79.380723,18
St. Andrew's Playground Park,43.646552,-79.399586,10
College St / Henry St ,43.6591529,-79.3947953,10
Emerson Ave / Bloor St W,43.659055,-79.440764,4
Sherbourne St / Isabella St,43.669576,-79.375961,3
Victoria Park Ave / Dawes Rd,43.706466,-79.29511,4
Roncesvalles Ave / Fermanagh Ave,43.646314469245205,-79.44879407014527,4
Tommy Thompson Park (Leslie Street Spit),43.65222662225532,-79.32295440954084,7
St. John's Rd / Dundas St W,43.66526761605873,-79.47502122887077,4
Albany Ave / Bloor St W,43.66554144421798,-79.41010317605742,1
Pioneer Village Subway Station,43.77649016265579,-79.5085364909097,11
Toronto Eaton Centre (Yonge St) - SMART,43.655431,-79.380653,18
Armoury St / Chestnut St,43.65351799690878,-79.38591063795928,7
Lake Shore Blvd W / Brow Dr,43.59119994025076,-79.54449133041076,11
25 Booth Ave,43.6544839,-79.34105699999999,5
Spadina Ave / Sullivan St,43.65082785552666,-79.39698099821702,18
St. Clair Ave W / Osler St,43.673843560032594,-79.46092618902435,6
Simcoe St / King St W,43.647508351306186,-79.38604436555764,14
Grenoble Dr / Gateway Blvd,43.71513211098082,-79.33413623320465,10
Grenoble Dr / Deauville Ln,43.71649675774656,-79.33089439933623,8
Grenoble Dr / Vendome Pl,43.715537998967406,-79.32811427663442,8
Thorncliffe Park Dr / Leaside Park Trail,43.70400405297843,-79.34807015078738,11
Ferrand Dr / Rochefort Dr,43.719632535237835,-79.33199950866776,10
165 McRae Dr,43.70656159598004,-79.36781965092621,3
75 Thorncliffe Park Dr,43.70518328279426,-79.34224729962946,9
Mount Pleasant Rd / Davisville Ave - SMART,43.70088225686968,-79.38736016665911,0
St Clair Ave W / Avenue Rd ,43.68688938028234,-79.40099513147447,0
HTO Park (Queens Quay W),43.63796,-79.387502,3
Nassau St / Bellevue Ave,43.65484215542248,-79.40351232494366,2
Huron St / Harbord St,43.6637,-79.400053,1
Ward St / Wallace Ave,43.662857,-79.44618,1
Starspray Blvd / Lawrence Ave E,43.788319,-79.123505,19
The Well,43.643025055165865,-79.39430137761319,13
60 Carl Hall Rd - SMART,43.7482972,-79.47570569999999,0
HTO Park West,43.63737145931921,-79.38976958703309,7
Downsview Park Blvd / Keele St  - SMART,43.73673829262113,-79.48227195568086,6
Downsview Park Subway Station - SMART,43.753107,-79.479626,5
Keele St / Dovehouse Ave - SMART,43.7494501,-79.4869662,2
Exhibition GO (Atlantic Ave),43.637695491830144,-79.42023184193503,13
Queens Quay E / Lower Jarvis St ,43.64392767366328,-79.3687301736982,13
Phoebe St / Spadina Ave,43.650033,-79.396555,26
Lynn Williams St / Pirandello St ,43.639124514797004,-79.41423166721611,11
Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785,27
College St / Huron St,43.658148,-79.398167,2
Northern Dancer Blvd / Lake Shore Blvd E,43.663162,-79.309765,12
Spadina Rd / Austin Terrace,43.67883,-79.408723,0
York St / Queens Quay W,43.640132,-79.380464,3
Front St W / University Ave (1),43.6451635,-79.3831757,15
Willingdon Blvd / Bloor St W (Green P),43.64817,-79.510392,4
Wallace Ave / Symington Ave - SMART,43.661324,-79.449534,1
Wellesley Station Green P,43.66496415990742,-79.38355031526893,4
York St / Harbour St (Love Park),43.640741,-79.3798521,9
Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,1
Ontario Place Blvd / Lake Shore Blvd W,43.6322445,-79.4108105,9
Simcoe St / Dundas St W - SMART,43.655103,-79.389295,5
College St / Markham St,43.6563888888889,-79.4091666666667,1
Sunnyside - Gus Ryder Pool,43.637894,-79.454823,11
High Park - West Rd,43.6525077,-79.4654233,7
Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569,3
Front St E / Cherry St,43.652686,-79.358395,11
519 Church St  - SMART,43.666850777484896,-79.38114574756837,3
Dundas St E / River St,43.661152,-79.358505,3
Shuter St/River St,43.659296,-79.358035,2
Madison Ave / Bloor St W,43.667158,-79.402761,2
Danforth Ave / Danforth Rd,43.69362206784152,-79.27710529695892,11
Brimley Rd / McCowan District Park,43.72704086366749,-79.24391402446746,7
King St W / Jameson Ave - SMART,43.63735795888104,-79.43617975886079,2
Parkcrest Dr / Kingston Rd,43.73596719224253,-79.21995221481933,5
Scarborough Soccer Centre,43.7154661,-79.2876595,10
Lansdowne Ave / Seaforth Ave ,43.642904395956684,-79.43746059447746,0
Danforth Rd / Birchmount Rd ,43.70688,-79.26850999999999,7
Pharmacy Ave / Teesdale Pl,43.697356080874876,-79.28528711019696,7
Yonge St / Montgomery Ave - SMART,43.70960859570095,-79.39915125005619,2
552 Birchmount Rd,43.71176278859601,-79.27028152889692,9
Highfield Rd / Gerrard St E,43.671771,-79.324961,12
Eastgate Cres / Pharmacy Ave ,43.7110442448186,-79.29127313845584,7
Firvalley Ct / Warden Ave,43.7032112,-79.2787149,11
Midland Ave / Kingston Rd,43.7128578,-79.2487086,9
Bellamy Rd S / Kingston Rd,43.7323277855009,-79.22496619876934,4
Avenue Rd / Cumberland St ,43.669821695059376,-79.39444614603269,12
High Park Amphitheatre,43.645653,-79.464366,10
High Park Outdoor Pool,43.649217,-79.465319,12
Fenwood Ht / Kingston Rd,43.72690169821676,-79.22920396582664,7
Avenue Rd / Macpherson Ave ,43.67794376009951,-79.39836278587889,0
Dufferin St / Queen St W,43.64309687937765,-79.42875613770637,2
Bay St / Dundas St W,43.655350778457056,-79.38345966759798,15
Shaw St / King St W,43.6412561641921,-79.41502994047545,3
Portland St / Queen St W,43.6476,-79.4015,2
Yonge St / Merton St ,43.6962750705313,-79.39629396191867,0
Soudan Ave / Yonge St ,43.70430959999999,-79.3972815,1
Avenue Rd / Oxton Ave ,43.69711160305226,-79.40537298227844,6
1612 Danforth Ave ,43.68370788065334,-79.32262453633884,4
Adelaide St W / Brant St - SMART,43.64600446255825,-79.39877642209015,13
Lisgar St / Queen St W - SMART,43.64299174164139,-79.42355911563249,0
Leslie St / Commissioners St  ,43.657275497390124,-79.32661544194183,13
Greenwood Ave / Sammon Ave,43.68698672516659,-79.33478198280334,7
Lansdowne Subway Station,43.65922918158098,-79.44320901022282,6
Warden Subway Station,43.71161098023304,-79.28055565662231,5
Kingston Rd / Scarborough Golf Club Rd,43.74531103700256,-79.20970650787817,6
Wellington St W / Bay St,43.647259,-79.379878,7
Greenwood Ave / Gerrard St E,43.67036917803197,-79.32782698645094,5
Simcoe St / Wellington St W South,43.6458569,-79.3853654,23
George St / King St E,43.6509552,-79.3707,10
Dundas St W / Crawford St,43.649722,-79.416944,24
Ossington Ave / Bruce St,43.64570236705167,-79.41933192053696,10
Bloor St W / Balmuto St,43.66981064282057,-79.38801106873031,0
Parliament St / Aberdeen Ave,43.665278,-79.368333,1
Chatham Ave / Byron Ave,43.6798678328407,-79.33424613862303,2
Wakunda Pl / O'Connor Dr,43.71602024377182,-79.3047092517501,5
Tiago Ave / Westview Blvd,43.71101621552703,-79.30675743891624,4
Plaxton Dr / St Clair Ave E,43.70751755961952,-79.30252066313936,8
Victoria Park Ave / Edge Park Ave,43.717678679534906,-79.29961580314475,10
Galbraith Rd / King's College Rd,43.6603874468082,-79.39537831814152,6
Exhibition GO Station,43.6352007,-79.4187711,8
Princes' Blvd / Nunavut Rd,43.6333523484014,-79.41436313073005,12
800 Fleet St,43.636804,-79.408832,15
Finch Subway Station ,43.781877158752955,-79.41528502874928,1
Glencairn Subway Station,43.70925763810859,-79.44169105036657,0
Glen Long Community Centre,43.70820992643782,-79.45627808717194,11
Caledonia Rd / Lotherton Pathway,43.70756436685646,-79.46571474966814,6
Harvie Ave / Rogers Rd,43.68402031135697,-79.45297885330353,4
Ling Rd / Morningside Ave,43.766663817888656,-79.18521765344238,0
Lake Shore Blvd W / Legion Rd,43.62052630763223,-79.48320224237995,12
Lake Shore Blvd W / Seventeenth St,43.59841926031898,-79.51561102394257,1
Mabelle Park,43.645389479325615,-79.5276822170925,4
Islington Subway Station (Aberfoyle Cres),43.645658591546216,-79.52339938954925,6
Lake Shore Blvd W / Long Branch Ave,43.59445833196281,-79.53387390859834,0
Uno Dr / The Queensway,43.62649329992186,-79.50358167641535,0
Second St / Lake Shore Blvd W,43.60191488118503,-79.49941888654288,0
Bloor St W / Dundas St W (2),43.64285244644315,-79.53199489206543,0
Temperance St Station,43.650945,-79.379498,5
Viewmount Park,43.70735572654095,-79.43723072209013,0
Sixth St / Lake Shore Blvd W,43.60116229109828,-79.50416046627045,0
